dataset,protocol,occlusion_type,occlusion_ratio,body_part,method,observation_branch,scene_count,MPJPE,Rel_MPJPE,PA_MPJPE,PCK_150
H36M,clean,clean,0.0,none,SkelSplat,CPN,2078,27.735650,29.589807,29.539416,99.230029
H36M,clean,clean,0.0,none,EMS-Splat,CPN,2078,26.710522,28.687456,28.092109,99.464983
H36M,rectangle_0p2,rectangle,0.2,none,SkelSplat,CPN,2078,53.881995,64.078517,60.422849,91.728472
H36M,rectangle_0p2,rectangle,0.2,none,EMS-Splat,CPN,2078,38.575162,42.290845,41.478144,98.465719
H36M,rectangle_0p4,rectangle,0.4,none,SkelSplat,CPN,2078,125.162093,134.659091,131.295240,69.736172
H36M,rectangle_0p4,rectangle,0.4,none,EMS-Splat,CPN,2078,53.717216,58.252655,56.795911,96.053898
H36M,rectangle_0p6,rectangle,0.6,none,SkelSplat,CPN,2078,167.003743,167.400288,157.431315,57.934666
H36M,rectangle_0p6,rectangle,0.6,none,EMS-Splat,CPN,2078,62.371854,66.517409,65.150772,93.978939
H36M,random_block_0p2,random_block,0.2,none,SkelSplat,CPN,2078,37.483887,43.435158,41.205134,97.058824
H36M,random_block_0p2,random_block,0.2,none,EMS-Splat,CPN,2078,32.968144,35.952401,35.526769,98.989413
H36M,random_block_0p4,random_block,0.4,none,SkelSplat,CPN,2078,72.021777,84.810079,80.950772,85.070486
H36M,random_block_0p4,random_block,0.4,none,EMS-Splat,CPN,2078,45.153436,49.167340,48.751326,97.542886
H36M,random_block_0p6,random_block,0.6,none,SkelSplat,CPN,2078,116.859579,128.248996,123.936052,70.942083
H36M,random_block_0p6,random_block,0.6,none,EMS-Splat,CPN,2078,53.965118,58.496017,57.136423,95.963313
H36M,body_part_both_arms,body_part,semantic,both_arms,SkelSplat,CPN,2078,106.752504,117.806901,117.897826,71.244975
H36M,body_part_both_arms,body_part,semantic,both_arms,EMS-Splat,CPN,2078,66.086157,70.719326,69.965905,90.856593
H36M,body_part_both_legs,body_part,semantic,both_legs,SkelSplat,CPN,2078,96.144353,133.131226,113.857283,70.953405
H36M,body_part_both_legs,body_part,semantic,both_legs,EMS-Splat,CPN,2078,52.290879,66.136235,59.285021,96.665346
H36M,body_part_torso,body_part,semantic,torso,SkelSplat,CPN,2078,92.032776,134.537959,102.037921,69.104909
H36M,body_part_torso,body_part,semantic,torso,EMS-Splat,CPN,2078,68.693575,81.459949,72.960649,90.899055
